file,label,split,aug_type
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_7_4_28_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_7_4_28_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_1_15_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_1_15_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_1_15_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_1_15_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_1_15_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_8_60_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_8_60_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_8_60_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_8_60_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_8_60_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_10_3_62_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_10_3_62_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_10_3_62_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_10_3_62_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_10_3_62_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_1_61_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_1_61_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_1_61_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_1_61_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_1_61_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\201_2_7_47_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\201_2_7_47_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\201_2_7_47_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\201_2_7_47_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\201_2_7_47_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_4_6_3_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_4_6_3_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_4_6_3_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_4_6_3_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_4_6_3_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_8_47_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_8_47_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_8_47_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_8_47_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_8_47_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_3_8_60_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_3_8_60_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_3_8_60_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_3_8_60_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\202_3_8_60_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_4_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_4_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_4_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_4_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_4_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_8_13_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_8_13_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_8_13_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_8_13_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_8_13_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_4_11_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_4_11_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_4_11_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_4_11_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_4_11_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_0_16_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_0_16_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_0_16_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_0_16_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_0_16_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_5_18_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_5_18_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_5_18_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_5_18_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_2_5_18_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\105_3_11_50_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\105_3_11_50_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\105_3_11_50_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\105_3_11_50_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\105_3_11_50_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\106_8_3_27_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\106_8_3_27_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\106_8_3_27_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\106_8_3_27_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\106_8_3_27_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_3_41_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_3_41_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_3_41_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_3_41_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_4_3_41_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_5_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_5_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_5_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_5_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_1_2_5_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_7_44_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_7_44_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_7_44_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_7_44_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_7_44_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\510_1_9_52_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\510_1_9_52_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\510_1_9_52_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\510_1_9_52_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\510_1_9_52_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_7_7_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_7_7_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_7_7_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_7_7_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_3_7_7_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_13_13_10_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_13_13_10_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_13_13_10_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_13_13_10_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\104_13_13_10_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_3_9_29_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_3_9_29_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_3_9_29_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_3_9_29_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_3_9_29_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\103_0_6_30_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\103_0_6_30_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\103_0_6_30_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\103_0_6_30_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\103_0_6_30_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_4_9_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_4_9_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_4_9_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_4_9_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\102_2_4_9_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_10_34_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_10_34_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_10_34_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_10_34_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\101_0_10_34_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_6_13_63_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_6_13_63_aug1.png,0,train,aug_1
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_6_13_63_aug2.png,0,train,aug_2
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_6_13_63_aug3.png,0,train,aug_3
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\301_6_13_63_aug4.png,0,train,aug_4
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\106_1_9_40_orig.png,0,train,original
C:\Users\wings\sevenwingsInc\01_clients\26-03_convFormer_ML+CNN\convFormer-model\steatosis_augmented\train\0\106_1_9_40_aug1.png,0,train,aug_1
